0,-0.703125
0.032,1.09375
0.064,-0.46875
0.096,-0.234375
0.128,0.15625
0.16,-0.390625
0.192,1.71875
0.224,-0.78125
0.256,0.78125
0.288,1.5625
0.32,8.515625
0.352,1.484375
0.384,3.90625
0.416,1.171875
0.448,3.59375
0.48,4.609375
0.512,4.921875
0.544,4.0625
0.576,2.734375
0.608,3.515625
0.64,2.8125
0.672,5.15625
0.704,-0.078125
0.736,6.171875
0.768,1.796875
0.8,5.78125
0.832,5.78125
0.864,4.21875
0.896,3.28125
0.928,5
0.96,5.9375
0.992,3.59375
1.024,5.3125
1.056,2.734375
1.088,7.1875
1.12,2.65625
1.152,6.640625
1.184,3.359375
1.216,6.171875
1.248,6.875
1.28,7.8125
1.312,8.515625
1.344,8.515625
1.376,9.53125
1.408,8.125
1.44,7.96875
1.472,6.25
1.504,4.296875
1.536,7.8125
1.568,11.015625
1.6,5
1.632,5
1.664,9.609375
1.696,3.90625
1.728,4.765625
1.76,6.328125
1.792,5.46875
1.824,5.9375
1.856,8.75
1.888,3.828125
1.92,7.265625
1.952,8.671875
1.984,7.734375
2.016,5.078125
2.048,7.265625
2.08,3.046875
2.112,3.28125
2.144,7.03125
2.176,-0.46875
2.208,-2.03125
2.24,3.203125
2.272,0.859375
2.304,-4.84375
2.336,-1.40625
2.368,3.59375
2.4,-2.109375
2.432,-0.703125
2.464,5.625
2.496,0.3125
2.528,-2.578125
2.56,4.0625
2.592,1.015625
2.624,0.859375
2.656,4.21875
2.688,4.6875
2.72,-1.09375
2.752,3.671875
2.784,1.71875
2.816,2.34375
2.848,3.90625
2.88,0.703125
2.912,0.234375
2.944,4.21875
2.976,0.9375
3.008,3.4375
3.04,3.515625
3.072,2.421875
3.104,0.46875
3.136,0
3.168,5.46875
3.2,-0.390625
3.232,0.703125
3.264,-3.515625
3.296,-2.265625
3.328,2.109375
3.36,3.203125
3.392,-11.953125
3.424,-2.65625
3.456,7.34375
3.488,-4.6875
3.52,0.078125
3.552,2.34375
3.584,3.203125
3.616,-8.75
3.648,5.15625
3.68,1.640625
3.712,-1.5625
3.744,2.578125
3.776,-1.25
3.808,7.03125
3.84,-0.234375
3.872,6.796875
3.904,3.4375
3.936,3.203125
3.968,-0.859375
4,0.546875
4.032,6.5625
4.064,15.078125
4.096,18.59375
4.128,25.078125
4.16,30.78125
4.192,36.796875
4.224,42.421875
4.256,46.40625
4.288,49.921875
4.32,55.46875
4.352,57.734375
4.384,68.125
4.416,89.609375
4.448,75.078125
4.48,85.546875
4.512,111.640625
4.544,115.078125
4.576,105.703125
4.608,123.984375
4.64,146.484375
4.672,129.609375
4.704,146.484375
4.736,169.375
4.768,169.84375
4.8,174.609375
4.832,187.421875
4.864,193.515625
4.896,195
4.928,208.359375
4.96,206.09375
4.992,215.234375
5.024,234.765625
5.056,239.453125
5.088,257.34375
5.12,300.234375
5.152,335.390625
5.184,350.546875
5.216,354.453125
5.248,352.109375
5.28,335.234375
5.312,328.90625
5.344,332.109375
5.376,342.578125
5.408,364.765625
5.44,390.546875
5.472,403.359375
5.504,413.125
5.536,422.265625
5.568,430.546875
5.6,439.609375
5.632,441.171875
5.664,451.875
5.696,454.6875
5.728,457.03125
5.76,461.171875
5.792,471.484375
5.824,473.90625
5.856,474.609375
5.888,486.40625
